label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.411338,0.41283,0,0.443793,0.49512,-0.012106,0.499407,0.540759,-0.014684,0.554664,0.55221,-0.020313,0.59583,0.554959,-0.02363,0.545468,0.504537,0.007927,0.585041,0.508138,-0.021977,0.54635,0.496428,-0.039375,0.511669,0.488414,-0.044724,0.544783,0.456414,0.004374,0.57687,0.457075,-0.028914,0.526474,0.452795,-0.03982,0.490516,0.45023,-0.03911,0.538832,0.409976,-0.004426,0.569527,0.40848,-0.037594,0.51947,0.412365,-0.034946,0.484293,0.41601,-0.023165,0.527526,0.361834,-0.014312,0.560357,0.361498,-0.034493,0.526594,0.375314,-0.030687,0.498077,0.386711,-0.021625
A,0.411338,0.41283,0,0.443793,0.49512,-0.012106,0.499407,0.540759,-0.014684,0.554664,0.55221,-0.020313,0.59583,0.554959,-0.02363,0.545468,0.504537,0.007927,0.585041,0.508138,-0.021977,0.54635,0.496428,-0.039375,0.511669,0.488414,-0.044724,0.544783,0.456414,0.004374,0.57687,0.457075,-0.028914,0.526474,0.452795,-0.03982,0.490516,0.45023,-0.03911,0.538832,0.409976,-0.004426,0.569527,0.40848,-0.037594,0.51947,0.412365,-0.034946,0.484293,0.41601,-0.023165,0.527526,0.361834,-0.014312,0.560357,0.361498,-0.034493,0.526594,0.375314,-0.030687,0.498077,0.386711,-0.021625
A,0.416278,0.418094,0,0.448038,0.492565,-0.013755,0.500935,0.537299,-0.016637,0.553654,0.549232,-0.022228,0.596965,0.555649,-0.026127,0.547551,0.497777,0.006431,0.580557,0.501705,-0.022966,0.54501,0.490881,-0.041687,0.510804,0.485529,-0.048125,0.54673,0.449576,0.003734,0.576176,0.45237,-0.029441,0.527091,0.449237,-0.040902,0.488009,0.45008,-0.040051,0.540681,0.403832,-0.004294,0.567921,0.404212,-0.03742,0.519263,0.41148,-0.036348,0.481775,0.418592,-0.025378,0.529822,0.356631,-0.013512,0.55749,0.358506,-0.034652,0.525441,0.37173,-0.031853,0.497277,0.383907,-0.023209
A,0.413717,0.409125,0,0.449668,0.498408,-0.011396,0.505216,0.545498,-0.013824,0.562533,0.55765,-0.019951,0.604965,0.563666,-0.024067,0.549062,0.51235,0.012284,0.58829,0.51612,-0.018986,0.552739,0.504013,-0.039815,0.517594,0.494564,-0.0476,0.548926,0.463537,0.007983,0.582201,0.464076,-0.02624,0.534601,0.459242,-0.03996,0.496878,0.454953,-0.041397,0.543617,0.416964,-0.001941,0.573583,0.416042,-0.035471,0.525856,0.419494,-0.035287,0.489615,0.421349,-0.025284,0.533405,0.368576,-0.01313,0.563159,0.3703,-0.033911,0.53101,0.381153,-0.031865,0.502824,0.39054,-0.024176
A,0.416347,0.422723,0,0.45151,0.502501,-0.011266,0.505812,0.545068,-0.013515,0.558498,0.55526,-0.019138,0.60025,0.561041,-0.023235,0.547232,0.505819,0.009081,0.582295,0.51165,-0.020121,0.547986,0.50069,-0.039416,0.513356,0.493002,-0.046138,0.547205,0.458349,0.005785,0.576194,0.462077,-0.026125,0.52959,0.457912,-0.037693,0.490808,0.456037,-0.037579,0.541925,0.413167,-0.002762,0.570889,0.416398,-0.03353,0.525234,0.421542,-0.032185,0.487922,0.424862,-0.021786,0.531953,0.366099,-0.012536,0.560566,0.371322,-0.031535,0.530246,0.384049,-0.028531,0.502174,0.39357,-0.020255
A,0.41754,0.417761,0,0.466948,0.518618,-0.01571,0.530482,0.567224,-0.021197,0.588766,0.582989,-0.029963,0.633184,0.600968,-0.035535,0.585666,0.513511,0.007937,0.632546,0.524335,-0.023964,0.586828,0.518181,-0.046294,0.548007,0.505213,-0.05513,0.582532,0.464569,0.005122,0.622004,0.474118,-0.028615,0.570434,0.474906,-0.042549,0.529803,0.46627,-0.044523,0.574871,0.418614,-0.003749,0.61031,0.43191,-0.035028,0.56358,0.439023,-0.032232,0.525497,0.435512,-0.021489,0.56316,0.371685,-0.014686,0.592554,0.39215,-0.03472,0.559201,0.403168,-0.030026,0.530284,0.403769,-0.020255
A,0.487601,0.521235,0,0.518428,0.604091,-0.0148,0.578988,0.647818,-0.019955,0.638008,0.658772,-0.027678,0.672097,0.692587,-0.033666,0.626338,0.61283,0.002495,0.661212,0.610725,-0.026061,0.621704,0.598993,-0.04398,0.584827,0.593892,-0.050998,0.623388,0.559616,-0.000396,0.654672,0.559487,-0.03348,0.604187,0.55705,-0.044953,0.562985,0.555526,-0.045116,0.615254,0.510829,-0.008211,0.643172,0.511989,-0.042872,0.591868,0.518977,-0.041627,0.551439,0.523784,-0.030904,0.602402,0.462105,-0.017084,0.629019,0.468925,-0.04108,0.593262,0.480813,-0.038699,0.562808,0.489923,-0.030206
A,0.482563,0.483513,0,0.515787,0.561437,-0.014205,0.575068,0.600348,-0.018978,0.631604,0.607415,-0.026553,0.665629,0.636825,-0.032578,0.621677,0.564748,0.002841,0.65794,0.560797,-0.026284,0.619651,0.550203,-0.045247,0.58138,0.545683,-0.052381,0.617522,0.512211,0.000015,0.648766,0.507593,-0.03268,0.600109,0.5069,-0.044727,0.55868,0.508127,-0.045156,0.608408,0.464384,-0.007735,0.637895,0.459161,-0.040733,0.589004,0.468376,-0.040189,0.548026,0.476413,-0.030236,0.594989,0.416488,-0.016644,0.623547,0.415416,-0.038921,0.591089,0.429397,-0.036822,0.560601,0.442192,-0.028715
A,0.492372,0.474762,0,0.521259,0.553256,-0.013811,0.583368,0.591763,-0.016307,0.641056,0.594462,-0.02092,0.67445,0.622153,-0.023915,0.626214,0.548757,0.002213,0.661546,0.544535,-0.025897,0.621746,0.533378,-0.042347,0.585085,0.530578,-0.04811,0.622454,0.496092,-0.000134,0.655836,0.490897,-0.034324,0.602802,0.491492,-0.045294,0.561215,0.494119,-0.044086,0.613996,0.449795,-0.007184,0.648378,0.442497,-0.042375,0.593991,0.454449,-0.040525,0.552878,0.464549,-0.028907,0.600366,0.404209,-0.015138,0.630753,0.400946,-0.040197,0.593884,0.415544,-0.038406,0.563367,0.429221,-0.029967
A,0.497789,0.447032,0,0.520241,0.52049,-0.011481,0.577004,0.568495,-0.012809,0.625917,0.582189,-0.015364,0.661556,0.599539,-0.016643,0.616727,0.530675,-0.00433,0.651607,0.521832,-0.032673,0.612839,0.512496,-0.048538,0.581001,0.51431,-0.054129,0.617269,0.479897,-0.008055,0.644257,0.473387,-0.041359,0.593728,0.474036,-0.053767,0.558811,0.477177,-0.054654,0.608456,0.437801,-0.015275,0.636005,0.427782,-0.047738,0.587051,0.435455,-0.047971,0.553459,0.441671,-0.039589,0.59434,0.399567,-0.023061,0.617042,0.391865,-0.045014,0.585984,0.399868,-0.043659,0.561237,0.409462,-0.036659
A,0.473786,0.434835,0,0.510766,0.513987,-0.017458,0.568964,0.554306,-0.023199,0.628039,0.562218,-0.031157,0.665746,0.5908,-0.037058,0.609341,0.515157,0.003279,0.649997,0.505328,-0.02992,0.612394,0.496927,-0.050467,0.575776,0.497419,-0.057953,0.605625,0.462841,0.001718,0.641446,0.452981,-0.036283,0.591885,0.455314,-0.049591,0.551459,0.462359,-0.049259,0.596963,0.417278,-0.005621,0.628771,0.404836,-0.04315,0.579223,0.414991,-0.0419,0.540907,0.427788,-0.029711,0.583362,0.371965,-0.014447,0.613954,0.360976,-0.03905,0.579969,0.375979,-0.037011,0.550326,0.394321,-0.027967
A,0.477461,0.430353,0,0.508287,0.506115,-0.019016,0.568855,0.545254,-0.02439,0.625748,0.550456,-0.030974,0.661255,0.574481,-0.03525,0.611167,0.502102,-0.004913,0.645274,0.492213,-0.036414,0.604899,0.481159,-0.053859,0.568728,0.47995,-0.059769,0.606637,0.44879,-0.005523,0.638424,0.437948,-0.043472,0.58542,0.44066,-0.054419,0.544574,0.447468,-0.052679,0.597847,0.402937,-0.011364,0.628321,0.389577,-0.049382,0.575266,0.403325,-0.047165,0.535478,0.417967,-0.034787,0.58468,0.358581,-0.018656,0.610871,0.349658,-0.044933,0.575774,0.364781,-0.043744,0.547301,0.382093,-0.035574
A,0.47063,0.419871,0,0.500903,0.493291,-0.018234,0.560905,0.530764,-0.022686,0.617671,0.534321,-0.028084,0.656344,0.555333,-0.031393,0.601808,0.486862,-0.000635,0.634992,0.479491,-0.02968,0.596437,0.471436,-0.046401,0.562199,0.471532,-0.052191,0.598052,0.436274,-0.001174,0.630358,0.430429,-0.035097,0.579829,0.432475,-0.046144,0.541094,0.437852,-0.045049,0.589326,0.391698,-0.006852,0.620059,0.383343,-0.041897,0.569195,0.394781,-0.040146,0.531908,0.406054,-0.028581,0.575055,0.347635,-0.013844,0.603833,0.340465,-0.038227,0.569374,0.35587,-0.036152,0.540577,0.372514,-0.027567
A,0.471375,0.418193,0,0.501638,0.493915,-0.020646,0.559789,0.533489,-0.026689,0.613684,0.534846,-0.033426,0.651036,0.552324,-0.037628,0.604066,0.48463,-0.005827,0.636195,0.475856,-0.037199,0.59603,0.465817,-0.054442,0.559919,0.466681,-0.059982,0.598708,0.432473,-0.005608,0.628583,0.423576,-0.043007,0.577536,0.426665,-0.053726,0.537064,0.4357,-0.051566,0.589459,0.387054,-0.010797,0.617,0.376721,-0.048142,0.566604,0.390955,-0.046097,0.528317,0.406906,-0.033697,0.575512,0.343403,-0.017551,0.600105,0.337539,-0.043116,0.565495,0.353542,-0.041583,0.537191,0.371365,-0.032992
A,0.461725,0.406465,0,0.488384,0.47213,-0.017895,0.546641,0.51515,-0.022484,0.59909,0.520415,-0.027611,0.638338,0.531478,-0.030477,0.593213,0.472319,-0.004704,0.624805,0.463897,-0.034095,0.5849,0.455995,-0.050179,0.550714,0.455882,-0.055339,0.590556,0.422753,-0.005404,0.617898,0.414871,-0.039665,0.565214,0.418171,-0.049806,0.528113,0.422724,-0.048079,0.581897,0.379213,-0.010872,0.609747,0.366735,-0.045227,0.557759,0.381154,-0.042607,0.522043,0.393316,-0.031175,0.567652,0.336746,-0.017593,0.589925,0.328098,-0.041618,0.553738,0.344538,-0.039387,0.526895,0.361306,-0.030869
A,0.459199,0.397757,0,0.484452,0.463396,-0.018571,0.544699,0.502989,-0.023099,0.599826,0.50789,-0.027529,0.637247,0.528625,-0.02925,0.588464,0.462572,-0.005624,0.619766,0.45322,-0.033713,0.579062,0.444912,-0.046957,0.546983,0.446176,-0.050511,0.585545,0.413207,-0.005711,0.614579,0.404664,-0.038862,0.561922,0.407343,-0.046564,0.527497,0.413168,-0.043213,0.576989,0.370275,-0.010549,0.603427,0.356787,-0.045299,0.550262,0.369421,-0.040587,0.516523,0.381975,-0.027442,0.563304,0.328504,-0.016532,0.586175,0.316691,-0.040818,0.549926,0.332313,-0.037599,0.524738,0.350047,-0.028257
A,0.462843,0.396467,0,0.487221,0.463011,-0.018437,0.548425,0.505859,-0.022472,0.60341,0.510541,-0.026508,0.641727,0.528349,-0.027826,0.594345,0.46405,-0.0053,0.627075,0.454813,-0.033147,0.585796,0.44859,-0.046753,0.553464,0.450043,-0.050672,0.592185,0.415099,-0.00549,0.618419,0.406145,-0.039248,0.564206,0.411118,-0.048301,0.529718,0.416232,-0.045964,0.584069,0.371955,-0.010345,0.610052,0.357577,-0.044839,0.556629,0.372533,-0.041345,0.523131,0.384605,-0.029429,0.57073,0.329319,-0.016399,0.590875,0.318661,-0.040534,0.553319,0.335001,-0.038077,0.528191,0.351879,-0.029504
A,0.472201,0.39607,0,0.495534,0.463722,-0.019238,0.552848,0.508073,-0.024003,0.607219,0.511478,-0.028942,0.646237,0.525431,-0.031169,0.600332,0.467727,-0.005021,0.634206,0.460418,-0.035051,0.59322,0.449937,-0.050725,0.560117,0.44903,-0.0553,0.598446,0.41801,-0.005048,0.628346,0.410963,-0.039143,0.575542,0.41097,-0.048117,0.540275,0.415441,-0.04533,0.591336,0.374088,-0.010098,0.619667,0.362288,-0.045464,0.567102,0.371763,-0.041622,0.532545,0.382307,-0.02865,0.579233,0.330467,-0.016418,0.605419,0.320586,-0.040588,0.568901,0.334353,-0.037066,0.541478,0.350702,-0.027232
A,0.491957,0.382379,0,0.50739,0.456242,-0.015286,0.562892,0.504604,-0.017064,0.617604,0.514531,-0.019443,0.653739,0.531716,-0.01951,0.606004,0.47706,-0.005145,0.648729,0.471228,-0.033995,0.608359,0.454842,-0.047702,0.574779,0.45216,-0.05116,0.609704,0.427448,-0.006639,0.644301,0.419615,-0.041263,0.591686,0.414754,-0.051456,0.555654,0.416031,-0.049863,0.606477,0.383392,-0.012529,0.63788,0.371474,-0.047262,0.584612,0.375922,-0.046228,0.548209,0.384237,-0.03597,0.597642,0.340091,-0.019294,0.625263,0.330274,-0.043587,0.590549,0.338321,-0.043362,0.562402,0.351045,-0.036515
A,0.492551,0.384771,0,0.512365,0.456599,-0.014918,0.567039,0.50267,-0.016358,0.622278,0.512627,-0.01872,0.66003,0.530187,-0.018607,0.612368,0.474835,0.001165,0.654314,0.466772,-0.027024,0.614975,0.45108,-0.041506,0.581085,0.448437,-0.045393,0.614809,0.42522,0.000133,0.651178,0.415157,-0.034408,0.599292,0.410255,-0.045132,0.562454,0.412087,-0.043116,0.611351,0.381288,-0.005601,0.647283,0.368039,-0.041223,0.594046,0.370931,-0.039675,0.557462,0.378108,-0.028033,0.60221,0.33774,-0.01218,0.631867,0.326746,-0.037558,0.595479,0.333913,-0.036534,0.566719,0.346864,-0.028149
A,0.495849,0.376901,0,0.515047,0.45175,-0.014455,0.571965,0.499023,-0.016402,0.629073,0.510971,-0.019655,0.667159,0.528381,-0.020125,0.6203,0.469319,0.001927,0.666335,0.466552,-0.026422,0.626848,0.452132,-0.041016,0.593471,0.448646,-0.045267,0.621973,0.420343,0.000064,0.663786,0.414813,-0.032297,0.612589,0.411559,-0.041592,0.578411,0.414796,-0.039807,0.617689,0.375579,-0.006778,0.656795,0.367385,-0.04009,0.605282,0.37121,-0.037514,0.571658,0.378161,-0.026407,0.60824,0.330641,-0.014625,0.640133,0.32292,-0.037501,0.604963,0.331248,-0.035721,0.577138,0.34299,-0.027929
A,0.494002,0.378663,0,0.513577,0.448894,-0.018878,0.569065,0.496857,-0.021988,0.625489,0.508258,-0.024742,0.665899,0.522752,-0.023914,0.617504,0.467205,-0.003658,0.662181,0.462762,-0.032125,0.622795,0.449702,-0.044425,0.590995,0.44747,-0.046625,0.61954,0.417436,-0.002731,0.660045,0.40968,-0.035281,0.608451,0.407322,-0.042268,0.576179,0.413409,-0.038462,0.615828,0.372038,-0.007051,0.65265,0.361488,-0.041282,0.600461,0.36633,-0.037044,0.568074,0.37623,-0.024247,0.606605,0.326859,-0.01264,0.635946,0.317201,-0.036222,0.599817,0.326066,-0.034002,0.573399,0.339533,-0.025459
A,0.5009,0.383495,0,0.519016,0.455861,-0.019934,0.57632,0.501528,-0.024645,0.635114,0.511624,-0.029169,0.674011,0.53214,-0.030042,0.626283,0.477117,-0.005418,0.670964,0.469531,-0.036217,0.630387,0.456512,-0.05029,0.598811,0.455395,-0.053658,0.626677,0.425718,-0.004739,0.665018,0.41712,-0.039007,0.612582,0.413716,-0.045578,0.582082,0.420182,-0.041425,0.621553,0.378477,-0.009608,0.656671,0.367879,-0.046505,0.604246,0.371191,-0.04134,0.57314,0.381909,-0.027286,0.611635,0.331752,-0.015721,0.641261,0.322481,-0.040607,0.605084,0.331037,-0.037312,0.579624,0.345024,-0.027649
A,0.505915,0.382319,0,0.520656,0.45536,-0.016955,0.57835,0.506664,-0.019102,0.636767,0.517354,-0.021037,0.675148,0.533397,-0.01926,0.627588,0.476685,-0.003995,0.669391,0.468393,-0.032548,0.62653,0.45628,-0.044794,0.597199,0.458127,-0.047715,0.62903,0.424873,-0.004572,0.667222,0.417657,-0.037192,0.611985,0.417177,-0.043558,0.582653,0.423271,-0.040056,0.624696,0.378455,-0.010118,0.661857,0.369099,-0.044852,0.606368,0.375535,-0.039206,0.575953,0.385042,-0.0262,0.615623,0.332751,-0.016718,0.643029,0.323525,-0.041182,0.604699,0.333529,-0.038549,0.580007,0.346564,-0.03008
A,0.50724,0.38747,0,0.523254,0.457191,-0.020259,0.578723,0.505532,-0.024275,0.636613,0.516498,-0.027502,0.676875,0.535148,-0.02674,0.626892,0.478426,-0.007302,0.672434,0.471503,-0.037256,0.631683,0.459606,-0.04971,0.600854,0.458384,-0.051971,0.62768,0.428029,-0.006019,0.667235,0.419479,-0.039332,0.614098,0.417348,-0.044984,0.584804,0.423824,-0.040386,0.623136,0.381828,-0.010096,0.659413,0.371201,-0.046579,0.606098,0.375669,-0.040798,0.576053,0.386369,-0.02651,0.614151,0.336006,-0.015365,0.643096,0.326478,-0.040566,0.606592,0.335372,-0.037305,0.58201,0.348759,-0.027673
A,0.502879,0.385396,0,0.518999,0.45739,-0.020946,0.573963,0.504914,-0.025697,0.632004,0.514521,-0.029657,0.671993,0.531274,-0.029994,0.625435,0.473636,-0.010037,0.669513,0.466585,-0.039006,0.628667,0.454309,-0.051153,0.59726,0.450778,-0.0536,0.625498,0.424105,-0.008634,0.665794,0.414087,-0.040825,0.614208,0.411623,-0.045721,0.58364,0.416604,-0.041043,0.620271,0.378609,-0.012327,0.656809,0.366772,-0.047751,0.604199,0.371181,-0.040898,0.573748,0.380713,-0.0265,0.610116,0.332634,-0.017378,0.639454,0.324414,-0.043049,0.60253,0.334242,-0.039457,0.577791,0.348003,-0.029786
A,0.503079,0.408229,0,0.526184,0.477714,-0.02271,0.579536,0.517426,-0.029816,0.633255,0.519066,-0.036281,0.67349,0.530361,-0.039355,0.628864,0.4831,-0.009405,0.668235,0.471805,-0.040297,0.627104,0.462087,-0.054872,0.594655,0.462096,-0.058469,0.625925,0.434584,-0.007459,0.659661,0.421185,-0.042176,0.608682,0.420746,-0.048815,0.577968,0.429682,-0.044176,0.618019,0.3905,-0.010981,0.648262,0.375065,-0.047844,0.599341,0.382661,-0.041647,0.571082,0.396086,-0.026653,0.605465,0.346799,-0.015928,0.633068,0.335188,-0.040647,0.597958,0.347704,-0.035388,0.575029,0.363769,-0.023994
A,0.490087,0.439552,0,0.514237,0.504881,-0.02003,0.569165,0.543784,-0.025469,0.62458,0.545809,-0.030427,0.66383,0.558256,-0.032115,0.617422,0.506223,-0.007763,0.653473,0.492906,-0.034513,0.61311,0.486369,-0.046746,0.582114,0.487822,-0.049887,0.612346,0.459405,-0.006429,0.644128,0.444513,-0.036564,0.594504,0.450029,-0.042053,0.56554,0.45899,-0.038461,0.602113,0.417346,-0.00988,0.633206,0.400948,-0.042879,0.585323,0.413939,-0.036827,0.557301,0.425997,-0.023662,0.587271,0.374632,-0.014591,0.615013,0.364284,-0.037876,0.581269,0.379776,-0.033643,0.558145,0.394546,-0.023907
A,0.49368,0.41309,0,0.514281,0.477789,-0.021894,0.569103,0.517625,-0.027723,0.623509,0.519917,-0.032405,0.663002,0.5312,-0.03348,0.617153,0.481703,-0.011229,0.654285,0.467649,-0.039431,0.613447,0.460704,-0.05101,0.583099,0.463882,-0.053243,0.612851,0.434083,-0.00892,0.644483,0.419434,-0.040761,0.593834,0.424838,-0.045305,0.566337,0.436058,-0.040422,0.603557,0.391413,-0.011605,0.635193,0.374856,-0.046583,0.585169,0.388261,-0.03986,0.557361,0.402956,-0.02565,0.589244,0.349109,-0.015585,0.614995,0.33698,-0.040885,0.580364,0.353502,-0.037314,0.558273,0.370941,-0.027518
A,0.492451,0.402357,0,0.512176,0.467707,-0.022253,0.569861,0.506844,-0.026907,0.626798,0.507488,-0.029771,0.666541,0.518632,-0.028838,0.615042,0.470364,-0.011282,0.652156,0.454547,-0.037766,0.610582,0.448631,-0.047379,0.580576,0.452213,-0.048552,0.611393,0.422161,-0.008189,0.644537,0.405557,-0.039159,0.592786,0.412251,-0.043067,0.565301,0.423496,-0.037674,0.602583,0.379849,-0.009967,0.634962,0.360324,-0.044184,0.583946,0.375138,-0.037509,0.556545,0.390432,-0.023495,0.588304,0.338648,-0.013032,0.613746,0.324742,-0.037997,0.578561,0.340666,-0.034877,0.557085,0.35804,-0.025624
